Test_Time,2025-07-18 02:48:19
Well,B5
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),30.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.821
Baseline_Std(N),0.004
Contact_Detected,True
Contact_Z(mm),-13.699
Force_Limit_Exceeded,False
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752821285.911,-9.501,1.818,-0.003
1752821285.979,-9.530,1.818,-0.003
1752821286.048,-9.585,1.822,0.001
1752821286.119,-9.613,1.820,-0.001
1752821286.187,-9.643,1.814,-0.007
1752821286.257,-9.691,1.816,-0.005
1752821286.327,-9.721,1.820,-0.001
1752821286.397,-9.751,1.820,-0.001
1752821286.465,-9.796,1.816,-0.005
1752821286.532,-9.833,1.818,-0.003
1752821286.599,-9.858,1.816,-0.005
1752821286.667,-9.899,1.816,-0.005
1752821286.735,-9.944,1.812,-0.010
1752821286.802,-9.969,1.814,-0.007
1752821286.870,-10.010,1.818,-0.003
1752821286.937,-10.053,1.816,-0.005
1752821287.005,-10.078,1.814,-0.007
1752821287.073,-10.118,1.818,-0.003
1752821287.141,-10.159,1.818,-0.003
1752821287.208,-10.185,1.820,-0.001
1752821287.276,-10.224,1.820,-0.001
1752821287.344,-10.264,1.826,0.005
1752821287.412,-10.299,1.816,-0.005
1752821287.481,-10.333,1.816,-0.005
1752821287.552,-10.376,1.820,-0.001
1752821287.621,-10.413,1.820,-0.001
1752821287.691,-10.444,1.816,-0.005
1752821287.791,-10.485,1.818,-0.003
1752821287.859,-10.538,1.812,-0.010
1752821287.927,-10.550,1.809,-0.012
1752821287.995,-10.591,1.770,-0.051
1752821288.063,-10.639,1.749,-0.072
1752821288.131,-10.665,1.729,-0.093
1752821288.199,-10.701,1.710,-0.111
1752821288.267,-10.746,1.697,-0.124
1752821288.335,-10.774,1.697,-0.124
1752821288.403,-10.809,1.695,-0.126
1752821288.472,-10.853,1.702,-0.120
1752821288.540,-10.883,1.699,-0.122
1752821288.608,-10.916,1.691,-0.130
1752821288.676,-10.960,1.695,-0.126
1752821288.744,-10.991,1.708,-0.113
1752821288.812,-11.029,1.726,-0.095
1752821288.879,-11.066,1.743,-0.078
1752821288.947,-11.099,1.745,-0.076
1752821289.015,-11.139,1.743,-0.078
1752821289.085,-11.176,1.758,-0.063
1752821289.154,-11.213,1.760,-0.061
1752821289.222,-11.249,1.772,-0.049
1752821289.290,-11.288,1.768,-0.053
1752821289.358,-11.325,1.758,-0.063
1752821289.426,-11.358,1.675,-0.146
1752821289.494,-11.399,1.266,-0.555
1752821289.562,-11.435,1.181,-0.640
1752821289.630,-11.464,1.285,-0.537
1752821289.698,-11.508,1.251,-0.570
1752821289.768,-11.544,1.247,-0.574
1752821289.837,-11.576,1.063,-0.759
1752821289.906,-11.618,0.998,-0.823
1752821289.975,-11.655,1.087,-0.734
1752821290.044,-11.684,1.104,-0.717
1752821290.112,-11.728,1.241,-0.580
1752821290.181,-11.765,1.376,-0.445
1752821290.251,-11.796,1.457,-0.364
1752821290.319,-11.839,1.534,-0.288
1752821290.387,-11.875,1.608,-0.213
1752821290.457,-11.903,1.604,-0.217
1752821290.527,-11.944,1.627,-0.194
1752821290.595,-11.986,1.654,-0.167
1752821290.664,-12.015,1.650,-0.171
1752821290.734,-12.056,1.656,-0.165
1752821290.802,-12.098,1.677,-0.144
1752821290.870,-12.121,1.675,-0.146
1752821290.938,-12.161,1.660,-0.161
1752821291.007,-12.209,1.660,-0.161
1752821291.076,-12.234,1.531,-0.290
1752821291.144,-12.269,1.264,-0.557
1752821291.213,-12.315,1.025,-0.796
1752821291.281,-12.348,0.849,-0.972
1752821291.350,-12.380,0.816,-1.005
1752821291.419,-12.423,0.782,-1.039
1752821291.487,-12.456,0.772,-1.049
1752821291.555,-12.486,0.816,-1.005
1752821291.625,-12.530,0.955,-0.866
1752821291.694,-12.565,0.994,-0.827
1752821291.762,-12.599,0.994,-0.827
1752821291.832,-12.638,0.980,-0.842
1752821291.900,-12.676,0.988,-0.833
1752821291.972,-12.711,0.921,-0.900
1752821292.045,-12.749,0.901,-0.920
1752821292.114,-12.786,0.959,-0.862
1752821292.183,-12.819,0.986,-0.835
1752821292.255,-12.860,0.940,-0.881
1752821292.323,-12.900,0.915,-0.906
1752821292.391,-12.928,0.884,-0.937
1752821292.459,-12.966,0.776,-1.045
1752821292.527,-13.006,0.675,-1.147
1752821292.597,-13.036,0.623,-1.198
1752821292.666,-13.074,0.531,-1.290
1752821292.736,-13.115,0.455,-1.366
1752821292.805,-13.148,0.430,-1.391
1752821292.874,-13.183,0.370,-1.452
1752821292.945,-13.226,0.359,-1.462
1752821293.013,-13.261,0.382,-1.439
1752821293.081,-13.293,0.338,-1.483
1752821293.150,-13.333,0.293,-1.528
1752821293.219,-13.369,0.268,-1.553
1752821293.287,-13.404,0.177,-1.645
1752821293.355,-13.440,0.108,-1.713
1752821293.425,-13.478,0.048,-1.773
1752821293.494,-13.515,0.006,-1.815
1752821293.562,-13.548,-0.031,-1.852
1752821293.630,-13.589,-0.135,-1.956
1752821293.698,-13.626,-0.172,-1.993
1752821293.768,-13.654,-0.176,-1.997
1752821293.838,-13.699,-0.315,-2.136
1752821293.908,-13.738,-0.267,-2.089
1752821293.978,-13.761,-0.238,-2.059
1752821294.048,-13.806,-0.456,-2.277
1752821294.117,-13.849,-0.419,-2.240
1752821294.187,-13.864,-0.243,-2.064
1752821294.257,-13.901,-0.570,-2.391
1752821294.326,-13.951,-0.612,-2.433
1752821294.395,-13.973,-0.564,-2.385
1752821294.464,-14.008,-0.716,-2.537
1752821294.532,-14.055,-0.797,-2.618
1752821294.601,-14.083,-0.780,-2.601
1752821294.670,-14.118,-0.927,-2.748
1752821294.740,-14.164,-1.043,-2.865
1752821294.808,-14.194,-1.037,-2.858
1752821294.876,-14.228,-1.162,-2.983
1752821294.944,-14.273,-1.257,-3.078
1752821295.011,-14.304,-1.243,-3.064
1752821295.079,-14.335,-1.326,-3.147
1752821295.146,-14.380,-1.516,-3.338
1752821295.214,-14.411,-1.502,-3.323
1752821295.282,-14.446,-1.635,-3.456
1752821295.349,-14.485,-1.726,-3.547
1752821295.417,-14.519,-1.759,-3.580
1752821295.485,-14.556,-1.871,-3.692
1752821295.553,-14.595,-1.973,-3.794
1752821295.620,-14.630,-2.035,-3.856
1752821295.687,-14.663,-2.091,-3.912
1752821295.755,-14.704,-2.243,-4.064
1752821295.823,-14.739,-2.290,-4.111
1752821295.892,-14.774,-2.386,-4.207
1752821295.961,-14.811,-2.461,-4.282
1752821296.030,-14.849,-2.550,-4.371
1752821296.099,-14.886,-2.616,-4.437
1752821296.168,-14.920,-2.662,-4.483
